trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
152,False,"{'a': 0.5, 'e': 0.9968378318690665}",25,0,-233.01225208033986,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
153,False,"{'a': 0.5, 'e': 0.9967961098318819}",20,0,-54.77213738831488,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.9967541147944001}",25,0,-246.5790635830601,"{0: 12, 1: 2, 2: 5, 3: 3, 4: 3}",0
155,False,"{'a': 0.5, 'e': 0.9967118467681226}",20,0,-123.73533498838088,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
156,False,"{'a': 0.5, 'e': 0.9966693057646256}",25,0,-120.27635379093634,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.9966264917955603}",20,3,-13.701739367031585,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.9965834048726522}",20,0,-43.622507930180774,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.9965400450077021}",20,0,-100.53643647814181,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
160,False,"{'a': 0.5, 'e': 0.9964964122125853}",20,0,-178.1004480874033,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
161,False,"{'a': 0.5, 'e': 0.9964525064992518}",20,0,-234.7778735643481,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 4}",0
162,False,"{'a': 0.5, 'e': 0.9964083278797263}",30,0,-196.07062715900724,"{0: 18, 1: 3, 2: 4, 3: 3, 4: 2}",0
163,False,"{'a': 0.5, 'e': 0.9963638763661085}",20,0,-153.3055273455107,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
164,False,"{'a': 0.5, 'e': 0.9963191519705725}",30,0,-155.54635440120347,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
165,False,"{'a': 0.5, 'e': 0.9962741547053676}",25,0,-125.44060337578132,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.9962288845828172}",30,0,-128.27785007595497,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
167,False,"{'a': 0.5, 'e': 0.9961833416153201}",30,0,-167.17510642058645,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
168,False,"{'a': 0.5, 'e': 0.9961375258153493}",20,10,23.660213004054622,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.9960914371954528}",20,15,38.506371465018674,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.9960450757682533}",20,0,-77.89930759077242,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
171,False,"{'a': 0.5, 'e': 0.995998441546448}",25,0,-64.84747164318446,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.9959515345428092}",25,0,-132.08300013780348,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.9959043547701835}",30,0,-181.06783034950234,"{0: 12, 1: 4, 2: 12, 3: 2, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.9958569022414925}",25,0,-187.12000410403132,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
175,False,"{'a': 0.5, 'e': 0.9958091769697323}",20,0,-199.1666882214132,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
176,False,"{'a': 0.5, 'e': 0.9957611789679739}",20,0,-135.3673274919064,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
177,False,"{'a': 0.5, 'e': 0.9957129082493628}",25,0,-122.36447083370841,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
178,False,"{'a': 0.5, 'e': 0.9956643648271193}",20,0,-121.56075434050696,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
179,False,"{'a': 0.5, 'e': 0.9956155487145384}",20,0,-145.7140074584609,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
180,False,"{'a': 0.5, 'e': 0.9955664599249897}",20,0,-199.10934894469418,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
181,False,"{'a': 0.5, 'e': 0.9955170984719176}",25,0,-129.90789336171923,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
182,False,"{'a': 0.5, 'e': 0.9954674643688409}",20,0,-127.04151768938199,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
